Hiragana|Romanji|Tiếng Việt|Kanji
きります|kirimasu|cắt|切ります
おくります|okurimasu|gửi|送ります
あげます|agemasu|cho, tặng|
もらいます|moraimasu|nhận|
かします|kashimasu|cho mượn, cho vay|貸します
かります|karimasu|mượn, vay|借ります
おしえます|oshiemasu|dạy|教えます
ならいます|naraimasu|học, tập|習います
かけます|kakemasu|gọi [điện thoại]|
て|te|tay|手
はし|hashi|đũa|
スプーン|supuun|thìa|
ナイフ|naifu|dao|
フォーク|fooku|dĩa|
はさみ|hasami|kéo|
ファクス|fakusu|Fax|
ワープロ|waapuro|máy đánh chữ|
パソコン|pasokon|máy vi tính cá nhân|
パンチ|panchi|cái đục lỗ|
ホッチキス|hocchikisu|cái dập ghim|
セロテープ|seroteepu|băng dính|
けしゴム|keshigomu|cái tẩy|
かみ|kami|giấy|紙
はな|hana|hoa|花
シャツ|shatsu|áo sơ mi|
プレゼント|purezento|quà tặng, tặng phẩm|
にもつ|nimotsu|đồ đạc, hành lý|荷物
おかね|okane|tiền|お金
きっぷ|kippu|vé|切符
クリスマス|kurisumasu|Giáng Sinh|
ちち|chichi|bố (dùng khi nói về bố mình)|父
はは|haha|mẹ (dùng khi nói về mẹ mình)|母
おとうさん|otousan|bố (dùng khi nói về bố người khác và dùng khi xưng hô với bố mình)|お父さん
おかあさん|okaasan|mẹ (dùng khi nói về mẹ người khác và dùng khi xưng hô với mẹ mình)|お母さん
もう|mou|đã, rồi|
まだ|mada|chưa|
これから|korekara|từ bây giờ, sau đây|
[～、]すてきですね。|[～]sutekidesu ne.|[~] hay nhỉ./ đẹp nhỉ.|
ごめんください。|gomenkudasai.|Xin lỗi, có ai ở nhà không?/ Tôi có thể vào được chứ?|
いらっしゃい。|irasshai.|Rất hoan nghênh anh/chị đã đến chơi./ Chào mừng anh/chị đã đến chơi.|
どうぞおあがりください。|douzo oagari kudasai.|Mời anh/chị vào.|どうぞお上がりください。
しつれいします|shitsurei shimasu|Xin phép tôi vào./ xin phép ~.|失礼します
[～は]いかがですか。|[～wa] ikagadesu ka.|Anh/chị dùng [~] có được không?|
いただきます。|itadakimasu.|Mời anh/chị dùng ~. (cách nói dùng trước khi ăn hoặc uống)|
りょこう|ryokou|du lịch, chuyến du lịch (～をします: đi du lịch)|旅行
おみやげ|omiyage|quà (mua khi đi xa về hoặc mang đi khi thăm nhà người nào đó)|お土産
ヨーロッパ|yooroppa|Châu Âu|
スペイン|supein|Tây Ban Nha|
