Hiragana|Romanji|Tiếng Việt|Kanji
くれます|kuremasu|cho, tặng (tôi)|
つれていきます|tsurete ikimasu|dẫn đi|連れて行きます
つれてきます|tsurete kimasu|dẫn đến|連れて来ます
おくります|okurimasu|đưa đi, đưa đến, tiễn [một ai đó]|送ります
しょうかいします|shoukai shimasu|giới thiệu|紹介します
あんないします|annai shimasu|hướng dẫn, giới thiệu, dẫn đường|案内します
せつめいします|setsumei shimasu|giải thích, trình bày|説明します
いれます|iremasu|pha [cà phê]|
おじいさん／おじいちゃん|ojiisan / ojiichan|ông nội, ông ngoại, ông|
おばあさん／おばあちゃん|obaasan / obaachan|bà nội, bà ngoại, bà|
じゅんび|junbi|chuẩn bị [～します:chuẩn bị]|準備
いみ|imi|ý nghĩa|意味
[お]かし|[o]kashi|bánh kẹo|[お]菓子
ぜんぶ|zenbu|toàn bộ, tất cả|全部
じぶんで|jibun de|tự (mình)|自分で
ほかに|hoka ni|ngoài ra, bên cạnh đó|
ワゴンしゃ|wagonsha|xe ô-tô kiểu Wagon (có thùng đóng kín)|ワゴン車
「お」べんとう|[o]bentou|cơm hộp|「お」弁当
ははのひ|haha no hi|ngày của Mẹ|母の日
